ticker,signal_family,direction,entry_timing,session_filter,momentum_pct,momentum_ticks,breakout_lookback,trend_fast,trend_slow,volume_multiplier,volume_window,vwap_mode,vwap_buffer_pct,cooldown_minutes,max_hold_minutes,source_stage2_id,source_batch,match_quality,score,source_stop_ticks,source_trail_ticks,source_activation_ticks,source_test_net_2t,source_file
SVH7,pure_trailing_after_impulse,long,next_bar_open,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,60,S2_0433_1707,v7_01_profit_leaders,closest_stage2_profile,13767.738,7.2,7.2,9.0,2489.086500000048,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
SIM7,pure_trailing_after_impulse,short,next_bar_open,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,180,S2_0492_0894,v7_01_profit_leaders,closest_stage2_profile,12082.779,55.0,2.0,34.0,11061.6555,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
GLH7,vwap_impulse,short,next_bar_open,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,60,S2_0199_1009,v7_01_profit_leaders,closest_stage2_profile,12775.075,89.0,2.0,377.0,13387.372499999896,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
GLM6,momentum_breakout,short,signal_bar_close,all_available_data,0.0015,8,13,,,0.8,60,disabled,0.0,3,180,S2_0207_2645,v7_01_profit_leaders,closest_stage2_profile,8455.11,1821.870662460568,24.79179810725552,364.7791798107256,9163.5835000002,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
GLZ6,vwap_impulse,short,next_bar_open,main_session_only_if_identifiable,0.0005,3,5,,,0.0,20,disabled,0.0,0,180,S2_0223_2424,v7_03_robust_clusters,closest_stage2_profile,10027.603,1074.368700265252,67.61538461538461,268.946949602122,9683.16449999998,reports\v7_stage3_batches\v7_03_robust_clusters\v7_selected_stage2_profiles.csv
AMDPERPA,momentum_breakout,long,next_bar_open,all_available_data,0.0015,8,13,,,0.8,60,disabled,0.0,3,15,S2_0007_2762,v7_01_profit_leaders,closest_stage2_profile,10782.402,792.2806236080178,8.42316258351893,32.18708240534521,7008.457000000391,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
COINPERPA,pure_trailing_after_impulse,short,next_bar_open,main_session_only_if_identifiable,0.0005,3,5,,,0.0,20,disabled,0.0,0,15,S2_0188_0774,v7_01_profit_leaders,closest_stage2_profile,13738.43,34.0,1.0,34.0,11785.617500000071,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
TSLAPERPA,trend_pullback,both,next_bar_open,main_session_only_if_identifiable,0.0005,3,5,13.0,89.0,0.0,60,disabled,0.0,0,60,S2_0528_2645,v7_01_profit_leaders,closest_stage2_profile,12977.217,598.5384615384615,8.461538461538462,120.0923076923077,3894.438500000076,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BMM6,momentum_breakout,both,next_bar_open,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,60,S2_0016_1210,v7_08_br_bm_bt,exact_exit_same_signal,13814.613,233.0,1.0,5.0,931.5759999998506,reports\v7_stage3_batches\v7_08_br_bm_bt\v7_selected_stage2_profiles.csv
BMN6,pure_trailing_after_impulse,short,next_bar_open,main_session_only_if_identifiable,0.005,21,34,,,1.5,120,disabled,0.0,10,180,S2_0024_1105,v7_01_profit_leaders,exact_exit_same_signal,13821.329,144.0,1.0,55.0,2109.168499999969,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BMQ6,pure_trailing_after_impulse,both,next_bar_open,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,15,S2_0039_1434,v7_01_profit_leaders,closest_stage2_profile,13807.041,3.093601895734597,2.118483412322275,18.830568720379148,1073.02899999998,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BMU6,pure_trailing_after_impulse,both,next_bar_open,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,15,S2_0047_1554,v7_01_profit_leaders,closest_stage2_profile,13818.71,4.913432835820895,2.011940298507463,14.107462686567164,1788.9630000000795,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BMV6,vwap_impulse,long,next_bar_open,all_available_data,0.0015,8,13,,,0.8,60,rolling20,0.0002,3,15,S2_0058_0001,v7_01_profit_leaders,exact_exit_same_signal,13829.237,1.0,1.0,8.0,1560.555499999891,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BMX6,pure_trailing_after_impulse,long,next_bar_open,all_available_data,0.0015,8,13,,,0.8,60,disabled,0.0,3,15,S2_0063_0112,v7_01_profit_leaders,exact_exit_same_signal,13830.758,2.0,1.0,13.0,1654.9675000000063,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BRN6,pure_trailing_after_impulse,short,next_bar_open,main_session_only_if_identifiable,0.005,21,34,,,1.5,120,disabled,0.0,10,180,S2_0090_1211,v7_01_profit_leaders,exact_exit_same_signal,13817.88,233.0,1.0,8.0,750.1784999999343,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BRX6,pure_trailing_after_impulse,short,next_bar_open,exclude_first_last_10_minutes,0.0015,8,13,,,0.8,60,disabled,0.0,3,15,S2_0139_1121,v7_03_robust_clusters,exact_exit_same_signal,13820.602,144.0,3.0,8.0,1307.8994999999938,reports\v7_stage3_batches\v7_03_robust_clusters\v7_selected_stage2_profiles.csv
MMH7,pure_trailing_after_impulse,both,next_bar_open,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,60,S2_0267_0002,v7_10_quality_pf_outlier,closest_stage2_profile,13763.916,1.0,1.0,13.0,5591.287999999732,reports\v7_stage3_batches\v7_10_quality_pf_outlier\v7_selected_stage2_profiles.csv
MMZ6,momentum_breakout,both,next_bar_open,exclude_first_last_10_minutes,0.0005,3,5,,,0.0,20,disabled,0.0,0,180,S2_0310_0882,v7_10_quality_pf_outlier,closest_stage2_profile,13150.766,55.0,1.0,13.0,2997.174999999813,reports\v7_stage3_batches\v7_10_quality_pf_outlier\v7_selected_stage2_profiles.csv
PDM6,momentum_breakout,both,signal_bar_close,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,180,S2_0327_2523,v7_01_profit_leaders,closest_stage2_profile,1789.15,1684.2093023255811,34.156976744186046,337.206976744186,8374.758500000551,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
S1H7,vwap_impulse,both,next_bar_open,all_available_data,0.0015,8,13,,,0.8,60,rolling20,0.0002,3,15,S2_0404_2664,v7_01_profit_leaders,closest_stage2_profile,13825.08,127.52849740932642,4.891191709844559,9.015544041450775,2159.691500000033,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
S1Z6,pure_trailing_after_impulse,long,next_bar_open,main_session_only_if_identifiable,0.0015,8,13,,,0.8,60,disabled,0.0,3,60,S2_0420_1223,v7_01_profit_leaders,exact_exit_same_signal,13821.113,233.0,2.0,21.0,1133.9505000000345,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
SVZ6,momentum_breakout,long,signal_bar_close,exclude_first_last_10_minutes,0.0015,8,13,,,0.8,60,disabled,0.0,3,15,S2_0456_0005,v7_01_profit_leaders,exact_exit_same_signal,13822.922,1.0,1.0,55.0,522.718499999961,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
SIH7,momentum_breakout,both,next_bar_open,exclude_first_last_10_minutes,0.0005,3,5,,,0.0,20,disabled,0.0,0,60,S2_0473_1331,v7_09_fx_index_minis,closest_stage2_profile,13823.779,377.0,2.0,8.0,3232.783000000001,reports\v7_stage3_batches\v7_09_fx_index_minis\v7_selected_stage2_profiles.csv
